GLOBAL ID	Series unindented	Description	Base period	Sources	Long description	Series type
EOSQ332	Availability of financial services, 1-7 (best)	In your country, to what extent does the financial sector provide a wide range of financial products and services to businesses? [1 = not at all; 7 = provides a wide variety]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ331	Affordability of financial services, 1-7 (best)	In your country, to what extent are financial services affordable for businesses? [1 = not affordable at all; 7 = affordable]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ091	Financing through local equity market, 1-7 (best)	In your country, how easy is it for companies to raise money by issuing shares on the stock market? [1 = extremely difficult; 7 = extremely easy]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ088	Ease of access to loans, 1-7 (best)	In your country, how easy is it to obtain a bank loan with only a good business plan and no collateral? [1 = extremely difficult; 7 = extremely easy]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ089	Venture capital availability, 1-7 (best)	In your country, how easy is it for entrepreneurs with innovative but risky projects to find venture capital? [1 = extremely difficult; 7 = extremely easy]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ087	Soundness of banks, 1-7 (best)	In your country, how would you assess the soundness of banks? [1 = extremely low—banks may require recapitalization; 7 = extremely high—banks are generally healthy with sound balance sheets]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ092	Regulation of securities exchanges, 1-7 (best)	In your country, how effective are the regulation and supervision of securities exchanges? [1 = not at all effective; 7 = extremely effective]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
LEGRGHTIDX	Legal rights index, 0–10 (best)*	Degree of legal protection of borrowers' and lenders' rights on a 0–10 (best) scale	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]	This index measures the degree to which collateral and bankruptcy laws protect borrowers' and lenders’ rights and thus facilitate lending. For more details about the methodology employed and the assumptions made to compute this indicator, visit http://www.doingbusiness.org/methodologysurveys/.	Indicator
EOSQ067	Availability of latest technologies, 1-7 (best)	In your country, to what extent are the latest technologies available? [1 = not available at all; 7 = widely available]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ068	Firm-level technology absorption, 1-7 (best)	In your country, to what extent do businesses adopt new technology? [1 = not at all; 7 = adopt extensively]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ070	FDI and technology transfer, 1-7 (best)	To what extent does foreign direct investment (FDI) bring new technology into your country? [1 = not at all; 7 = to a great extent—FDI is a key source of new technology]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
NETUSERPCT	Individuals using Internet, %*	Percentage of individuals using the Internet	2013	International Telecommunication Union, [i]World Telecommunication/ICT Indicators 2014[i] (June 2014 edition)	Internet users refers to people using the Internet from any device (including mobile phones) in the last 12 months. Data are based on surveys generally carried out by national statistical offices or estimated based on the number of Internet subscriptions.	Indicator
BBSUBPC	Fixed broadband Internet subscriptions/100 pop.*	Fixed broadband Internet subscriptions per 100 population	2013	International Telecommunication Union, [i]World Telecommunication/ICT Indicators 2014[i] (June 2014 edition)	This refers to total fixed (wired) broadband Internet subscriptions (that is, subscriptions to high-speed access to the public Internet—a TCP/IP connection—at downstream speeds equal to or greater than 256 kb/s).	Indicator
INTBDWIDUSER	Int’l Internet bandwidth, kb/s per user*	International Internet bandwidth (kb/s) per Internet user	2013	International Telecommunication Union, [i]World Telecommunication/ICT Indicators 2014[i] (June 2014 edition)	International Internet bandwidth is the sum of capacity of all Internet exchanges offering international bandwidth measured in kilobits per second (kb/s).	Indicator
MOBBBSUBPC	Mobile broadband subscriptions/100 pop.*	Mobile broadband subscriptions per 100 population	2013	International Telecommunication Union, [i]World Telecommunication/ICT Indicators 2014[i] (June 2014 edition)	Mobile broadband subscriptions refers to active SIM cards or, on CDMA networks, connections accessing the Internet at consistent broadband speeds of over 512 kb/s, including cellular technologies such as HSPA, EV-DO, and above. This includes connections being used in any type of device able to access mobile broadband networks, including smartphones, USB modems, mobile hotspots, and other mobile-broadband connected devices.	Indicator
DOMMKTIDX	Domestic market size index, 1–7 (best)*	Sum of gross domestic product plus value of imports of goods and services, minus value of exports of goods and services, normalized on a 1–7 (best) scale	2013	World Economic Forum's calculations. For more details, refer to the appendix of Chapter 1.1 of this [i]Report[i].	The size of the domestic market is calculated as the natural log of the sum of the gross domestic product valued at PPP plus the total value (PPP estimates) of imports of goods and services, minus the total value (PPP estimates) of exports of goods and services. Data are then normalized on a 1–7 scale. PPP estimates of imports and exports are obtained by taking the product of exports as a percentage of GDP and GDP valued at PPP. 	Indicator
FGNMKTIDX	Foreign market size index, 1–7 (best)*	Value of exports of goods and services, normalized on a 1–7 (best) scale	2013	World Economic Forum's calculations. For more details, refer to the appendix of Chapter 1.1 of this [i]Report[i].	The size of the foreign market is estimated as the natural log of the total value (PPP estimates) of exports of goods and services, normalized on a 1–7 scale. PPP estimates of exports are obtained by taking the product of exports as a percentage of GDP and GDP valued at PPP. 	Indicator
GDPPPP	GDP (PPP$ billions)*	Gross domestic product valued at purchasing power parity in billions of international dollars	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources	  	Indicator
EXPGDP	Exports as a percentage of GDP*	Exports of goods and services as a percentage of gross domestic product	2013	World Trade Organization, [i]Online Statistics Database[i] (accessed June 18, 2014); International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources	Total exports is the sum of total exports of merchandise and commercial services.	Indicator
EOSQ101	Local supplier quantity, 1-7 (best)	In your country, how numerous are local suppliers? [1 = largely nonexistent; 7 = extremely numerous]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ102	Local supplier quality, 1-7 (best)	In your country, how would you assess the quality of local suppliers? [1 = extremely poor quality; 7 = extremely high quality]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ109	State of cluster development, 1-7 (best)	In your country, how widespread are well-developed and deep clusters (geographic concentrations of firms, suppliers, producers of related products and services, and specialized institutions in a particular field)? [1 = nonexistent; 7 = widespread in many fields]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ114	Nature of competitive advantage, 1-7 (best)	What is the competitive advantage of your country's companies in international markets based upon? [1 = low-cost labor or natural resources; 7 = unique products and processes]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ115	Value chain breadth, 1-7 (best)	In your country, do companies have a narrow or broad presence in the value chain? [1 = narrow, primarily involved in individual steps of the value chain (e.g., resource extraction or production); 7 = broad, present across the entire value chain (e.g.,including production and marketing, distribution, design, etc.)]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ123	Control of international distribution, 1-7 (best)	To what extent are international distribution and marketing from your country owned and controlled by domestic companies? [1 = not at all—they take place through foreign companies; 7 = to a great extent—they are primarily owned and controlled by domestic companies]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ120	Production process sophistication, 1-7 (best)	In your country, how sophisticated are production processes? [1 = not at all—production uses labor-intensive processes or old technology; 7 = highly—production uses sophisticated and knowledge-intensive processes]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ121	Extent of marketing, 1-7 (best)	In your country, to what extent do companies use sophisticated marketing tools and techniques? [1 = not at all; 7 = to a great extent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ124	Willingness to delegate authority, 1-7 (best)	In your country, how do you assess the willingness to delegate authority to subordinates? [1 = not willing at all—senior management takes all important decisions; 7 = very willing—authority is mostly delegated to business unit heads and other lower-level managers]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ119	Capacity for innovation, 1-7 (best)	In your country, to what extent do companies have the capacity to innovate? [1 = not at all; 7 = to a great extent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ071	Quality of scientific research institutions, 1-7 (best)	In your country, how would you assess the quality of scientific research institutions? [1 = extremely poor—among the worst in the world; 7 = extremely good—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ118	Company spending on R&D, 1-7 (best)	In your country, to what extent do companies spend on research and development (R&D)? [1 = do not spend on r&d; 7 = spend heavily on r&d]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ072	University-industry collaboration in R&D, 1-7 (best)	In your country, to what extent do business and universities collaborate on research and development (R&D)? [1 = do not collaborate at all; 7 = collaborate extensively]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ074	Gov’t procurement of advanced tech products, 1-7 (best)	In your country, to what extent do government purchasing decisions foster innovation? [1 = not at all; 7 = to a great extent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ133	Availability of scientists and engineers, 1-7 (best)	In your country, to what extent are scientists and engineers available? [1 = not at all; 7 = widely available]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
pctpatentapplpc	PCT patents, applications/million pop.*	Number of applications filed under the Patent Cooperation Treaty (PCT) per million population	2010-2011 average	Organisation for Economic Co-operation and Development (OECD), [i]Patent Database[i], (situation as of June 2014); For population: International Monetary Fund,[i]World Economic Outlook Database[i] (April 2014 edition); World Economic Forum's calculations. For more details about the treatment of Hong Kong SAR and Taiwan (China), refer to the section "Technical Notes and Sources".	This indicator measures the total count of applications filed under the Patent Cooperation Treaty (PCT), by priority date and inventor nationality, using fractional count if an application is filed by multiple inventors. The average count of applications filed in 2009 and 2010 is divided by population figures for 2010.  For Taiwan (China) and Hong Kong SAR, two advanced economies, we use estimates in the absence of reliable data on PCT applications. First, we compute the average number of all patent applications filed with the United States Patents and Trademarks Office (USPTO) in 2009–10. We then compute the average number of PCT applications for 2009 and 2010, before computing the ratio of the two averages (1.56). Only economies with a two-year average number of at least 100 USPTO applications and 50 PCT are considered for the computation of the two averages, and Taiwan (China) and Hong Kong SAR are excluded. We then divide the number of applications filed by Taiwan and Hong Kong residents, respectively, by the ratio above in order to produce an estimate for PCT applications. As a final step, we compute the estimates per million population—that is, 537.5 for Taiwan (China) and 85.3 for Hong Kong SAR. The estimates are used to compute the respective Innovation pillar score of the two economies.	Indicator
GCI.A	Basic requirements	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01	1st pillar: Institutions	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01	A. Public institutions	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01.01	1. Property rights	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01.02	2. Ethics and corruption	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01.03	3. Undue influence	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01.04	4. Government efficiency	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.01.05	5. Security	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.02	B. Private institutions	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.02.01	1. Corporate ethics	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.01.02.02	2. Accountability	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.02	2nd pillar: Infrastructure	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.02.01	A. Transport infrastructure	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.02.02	B. Electricity and telephony infrastructure	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.03	3rd pillar: Macroeconomic environment	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.04	4th pillar: Health and primary education	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.04.01	A. Health	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.A.04.02	B. Primary education	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B	Efficiency enhancers	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.05	5th pillar: Higher education and training	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.05.01	A. Quantity of education	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.05.02	B. Quality of education	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.05.03	C. On-the-job training	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.06	6th pillar: Goods market efficiency	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.06.01	A. Competition	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.06.01.01	1. Domestic competition 	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.06.01.02	2. Foreign competition 	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.06.02	B. Quality of demand conditions	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.07	7th pillar: Labor market efficiency	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.07.01	A. Flexibility	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.07.02	B. Efficient use of talent	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.08	8th pillar: Financial market development	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.08.01	A. Efficiency	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.08.02	B. Trustworthiness and confidence	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.09	9th pillar: Technological readiness	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.09.01	A. Technological adoption	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.09.02	B. ICT use 	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.10	10th pillar: Market size	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.10.01	A. Domestic market size	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.B.10.02	B. Foreign market size	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.C	Innovation and sophistication factors	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.C.11	11th pillar: Business sophistication 	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI.C.12	12th pillar: Innovation	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
GCI	Global Competitiveness Index	  	2014-2015 edition	World Economic Forum, [i]The Global Competitiveness Report 2013-2014[i]	  	Aggregate
