id	code	notes	description	units	scale	source	countryNotes	
392	AG period LND period FRST period K2	Forest area is land under natural or planted stands of trees of at least 5 meters in situ whether productive or not and excludes tree stands in agricultural production systems opening round bracket for example in fruit plantations and agroforestry systems closing round bracket and trees in urban parks and gardens period 	Forest area opening round bracket sq period km closing round bracket 	unknown	unknown	Food and Agriculture Organization electronic files and web site period 	unknown	
393	FP period CPI period TOTL period ZG	Inflation as measured by the consumer price index reflects the annual percentage change in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals such as yearly period The Laspeyres formula is generally used period 	Inflation consumer prices opening round bracket annual percent sign closing round bracket 	unknown	unknown	International Monetary Fund International Financial Statistics and data files period 	unknown	
394	SM period POP period REFG period OR	Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa people recognized as refugees in accordance with the UNHCR statute people granted refugee minus sign like humanitarian status and people provided temporary protection period Asylum seekers minus sign minus sign people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers minus sign minus sign are excluded period Palestinian refugees are people opening round bracket and their descendants closing round bracket whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab minus sign Israeli conflict period Country of origin generally refers to the nationality or country of citizenship of a claimant period 	Refugee population by country or territory of origin	unknown	unknown	United Nations High Commissioner for Refugees opening round bracket UNHCR closing round bracket Statistical Yearbook and data files complemented by statistics on Palestinian refugees under the mandate of the UNRWA as published on its website period Data from UNHCR are available online at colon www period unhcr period org slash statistics slash populationdatabase period 	unknown	
395	NY period GNP period PCAP period PP period KD	GNI per capita based on purchasing power parity opening round bracket PPP closing round bracket period PPP GNI is gross national income opening round bracket GNI closing round bracket converted to international dollars using purchasing power parity rates period An international dollar has the same purchasing power over GNI as a U period S period dollar has in the United States period GNI is the sum of value added by all resident producers plus any product taxes opening round bracket less subsidies closing round bracket not included in the valuation of output plus net receipts of primary income opening round bracket compensation of employees and property income closing round bracket from abroad period Data are in constant 2011 international dollars period 	GNI per capita PPP opening round bracket constant 2011 international dollar sign closing round bracket 	unknown	unknown	World Bank International Comparison Program database period 	unknown	
396	SL period TLF period PART period ZS	Part time employment refers to regular employment in which working time is substantially less than normal period Definitions of part time employment differ by country period 	Part time employment total opening round bracket percent sign of total employment closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
397	NY period GDS period TOTL period KN	Gross domestic savings are calculated as GDP less final consumption expenditure opening round bracket total consumption closing round bracket period Data are in constant local currency period 	Gross domestic savings opening round bracket constant LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
398	SL period UEM period NEET period MA period ZS	Share of youth not in education employment or training opening round bracket NEET closing round bracket is the proportion of young people who are not in education employment or training to the population of the corresponding age group colon youth opening round bracket ages 15 to 24 closing round bracket semicolon persons ages 15 to 29 semicolon or both age groups period 	Share of youth not in education employment or training male opening round bracket percent sign of male youth population closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
399	LEGRGHTIDX	This index measures the degree to which collateral and bankruptcy laws protect borrowers quotation mark and lenders closing quotation mark rights and thus facilitate lending period For more details about the methodology employed and the assumptions made to compute this indicator comma visit http colon slash slash www period doingbusiness period org slash methodologysurveys slash period 	Legal rights index comma 0 10 opening round bracket best closing round bracket multiplication sign 	Degree of legal protection of borrowers quotation mark and lenders quotation mark rights on a 0 10 opening round bracket best closing round bracket scale	Indicator 	World Bank slash International Finance Corporation comma opening curly bracket i closing square bracket Doing Business 2014 colon Understanding Regulations for Small and Medium minus sign Size Enterprises opening curly bracket i closing square bracket 	unknown	
400	DT period DFR period DPPG period CD	Debt forgiveness or reduction shows the change in debt stock due to debt forgiveness or reduction period It is derived by subtracting debt forgiven and debt stock reduction from debt buyback period Data are in current U period S period dollars period 	Debt forgiveness or reduction opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
401	SE period XPD period CTOT period ZS	Current expenditure is expressed as a percentage of direct expenditure in public educational institutions opening round bracket instructional and non minus sign instructional closing round bracket of the specified level of education period Financial aid to students and other transfers are excluded from direct expenditure period Current expenditure is consumed within the current year and would have to be renewed if needed in the following year period It includes staff compensation and current expenditure other than for staff compensation opening round bracket ex period on teaching materials ancillary services and administration closing round bracket period 	Current education expenditure total opening round bracket percent sign of total expenditure in public institutions closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
402	IQ period SCI period OVRL	The Statistical Capacity Indicator is a composite score assessing the capacity of a country s statistical system period It is based on a diagnostic framework assessing the following areas colon methodology semicolon data sources semicolon and periodicity and timeliness period Countries are scored against 25 criteria in these areas using publicly available information and slash or country input period The overall Statistical Capacity score is then calculated as a simple average of all three area scores on a scale of 0 minus sign 100 period 	Overall level of statistical capacity opening round bracket scale 0 minus sign 100 closing round bracket 	unknown	unknown	World Bank Bulletin Board on Statistical Capacity opening round bracket http colon slash slash bbsc period worldbank period org closing round bracket period 	unknown	
403	GCI period B period 07 period 02	unknown	B period Efficient use of talent	unknown	Aggregate 	World Economic Forum comma opening curly bracket i closing square bracket The Global Competitiveness Report 2013 minus sign 2014 opening curly bracket i closing square bracket 	unknown	
404	IC period EXP period COST period CD	Cost measures the fees levied on a 20 minus sign foot container in U period S period dollars period All the fees associated with completing the procedures to export or import the goods are included period These include costs for documents administrative fees for customs clearance and technical control customs broker fees terminal handling charges and inland transport period The cost measure does not include tariffs or trade taxes period Only official costs are recorded period Several assumptions are made for the business surveyed colon Has 60 or more employees semicolon Is located in the country quotation mark s most populous city semicolon Is a private limited liability company period It does not operate within an export processing zone or an industrial estate with special export or import privileges semicolon Is domestically owned with no foreign ownership semicolon Exports more than 10 percent sign of its sales period Assumptions about the traded goods colon The traded product travels in a dry minus sign cargo 20 minus sign foot full container load period The product colon Is not hazardous nor does it include military items semicolon Does not require refrigeration or any other special environment semicolon Does not require any special phytosanitary or environmental safety standards other than accepted international standards period 	Cost to export opening round bracket US dollar sign per container closing round bracket 	unknown	unknown	World Bank Doing Business project opening round bracket http colon slash slash www period doingbusiness period org slash closing round bracket period 	unknown	
405	SH period XPD period PCAP	Total health expenditure is the sum of public and private health expenditures as a ratio of total population period It covers the provision of health services opening round bracket preventive and curative closing round bracket family planning activities nutrition activities and emergency aid designated for health but does not include provision of water and sanitation period Data are in current U period S period dollars period 	Health expenditure per capita opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Health Organization Global Health Expenditure database opening round bracket see http colon slash slash apps period who period int slash nha slash database for the most recent updates closing round bracket period 	unknown	
406	NE period CON period TETC period CN	Final consumption expenditure opening round bracket formerly total consumption closing round bracket is the sum of household final consumption expenditure opening round bracket formerly private consumption closing round bracket and general government final consumption expenditure opening round bracket formerly general government consumption closing round bracket period This estimate includes any statistical discrepancy in the use of resources relative to the supply of resources period Data are in current local currency period 	Final consumption expenditure etc period opening round bracket current LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
407	BX period GSR period CCIS period ZS	Information and communication technology service exports include computer and communications services opening round bracket telecommunications and postal and courier services closing round bracket and information services opening round bracket computer data and news minus sign related service transactions closing round bracket period 	ICT service exports opening round bracket percent sign of service exports BoP closing round bracket 	unknown	unknown	International Monetary Fund Balance of Payments Statistics Yearbook and data files period 	unknown	
408	DT period DOD period PNGB period CD	Nonguaranteed long minus sign term debt from bonds that are privately placed period Private nonguaranteed long minus sign term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity period Data are in current U period S period dollars period 	PNG bonds opening round bracket DOD current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
409	AG period LND period AGRI period ZS	Agricultural land refers to the share of land area that is arable under permanent crops and under permanent pastures period Arable land includes land defined by the FAO as land under temporary crops opening round bracket double minus sign cropped areas are counted once closing round bracket temporary meadows for mowing or for pasture land under market or kitchen gardens and land temporarily fallow period Land abandoned as a result of shifting cultivation is excluded period Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest such as cocoa coffee and rubber period This category includes land under flowering shrubs fruit trees nut trees and vines but excludes land under trees grown for wood or timber period Permanent pasture is land used for five or more years for forage including natural and cultivated crops period 	Agricultural land opening round bracket percent sign of land area closing round bracket 	unknown	unknown	Food and Agriculture Organization electronic files and web site period 	unknown	
410	DT period NFL period IFAD period CD	Net official flows from UN agencies are the net disbursements of total official flows from the UN agencies period Total official flows are the sum of Official Development Assistance opening round bracket ODA closing round bracket or official aid and Other Official Flows opening round bracket OOF closing round bracket and represent the total disbursements by the official sector at large to the recipient country period Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans period ODA consists of loans made on concessional terms opening round bracket with a grant element of at least 25 percent calculated at a rate of discount of 10 percent closing round bracket and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients period Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients colon more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories period Official aid is provided under terms and conditions similar to those for ODA period Part II of the DAC List was abolished in 2005 period The collection of data on official aid and other resource flows to Part II countries ended with 2004 data period OOF are transactions by the official sector whose main objective is other than development minus sign motivated or if development minus sign motivated whose grant element is below the 25 per cent threshold which would make them eligible to be recorded as ODA period The main classes of transactions included here are official export credits official sector equity and portfolio investment and debt reorganization undertaken by the official sector at nonconcessional terms opening round bracket irrespective of the nature or the identity of the original creditor closing round bracket period UN agencies are United Nations and include the United Nations Children s Fund opening round bracket UNICEF closing round bracket United Nations Relief and Works Agency for Palestine Refugees in the Near East opening round bracket UNRWA closing round bracket United Nations Regular Programme for Technical Assistance opening round bracket UNTA closing round bracket International Atomic Energy Agency opening round bracket IAEA closing round bracket International Fund for Agricul tural Development opening round bracket IFAD closing round bracket Joint United Nations Programme on HIV slash AIDS opening round bracket UNAIDS closing round bracket United Nations Development Programme opening round bracket UNDP closing round bracket United Nations Economic Commission for Europe opening round bracket UNECE closing round bracket United Nations Population Fund opening round bracket UNPD closing round bracket United Nations Refugee Agency opening round bracket UNHCR closing round bracket World Food Programme opening round bracket WFP closing round bracket and World Health Organization opening round bracket WHO closing round bracket period Data are in current U period S period dollars period 	Net official flows from UN agencies IFAD opening round bracket current US dollar sign closing round bracket 	unknown	unknown	Development Assistance Committee of the Organisation for Economic Co minus sign operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co minus sign operation Report and International Development Statistics database period Data are available online at colon www period oecd period org slash dac slash stats slash idsonline period 	unknown	
411	NETUSERPCT	Internet users refers to people using the Internet from any device opening round bracket including mobile phones closing round bracket in the last 12 months period Data are based on surveys generally carried out by national statistical offices or estimated based on the number of Internet subscriptions period 	Individuals using Internet comma percent sign multiplication sign 	Percentage of individuals using the Internet	Indicator 	International Telecommunication Union comma opening curly bracket i closing square bracket World Telecommunication slash ICT Indicators 2014 opening curly bracket i closing square bracket opening round bracket June 2014 edition closing round bracket 	unknown	
412	DT period IXA period DPPG period CD	Interest in arrears on long minus sign term debt is defined as interest payment due but not paid on a cumulative basis period Long minus sign term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency goods or services period Data are in current U period S period dollars period 	Interest arrears public and publicly guaranteed opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
413	NV period AGR period TOTL period KN	Agriculture corresponds to ISIC divisions 1 minus sign 5 and includes forestry hunting and fishing as well as cultivation of crops and livestock production period Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs period It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources period The origin of value added is determined by the International Standard Industrial Classification opening round bracket ISIC closing round bracket revision 3 period Data are in constant local currency period 	Agriculture value added opening round bracket constant LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
414	TM period QTY period MRCH period XD period WD	Import volume indexes are derived from UNCTAD quotation mark s volume index series and are the ratio of the import value indexes to the corresponding unit value indexes period Unit value indexes are based on data reported by countries that demonstrate consistency under UNCTAD quality controls supplemented by UNCTAD s estimates using the previous year s trade values at the Standard International Trade Classification three minus sign digit level as weights period To improve data coverage especially for the latest periods UNCTAD constructs a set of average prices indexes at the three minus sign digit product classification of the Standard International Trade Classification revision 3 using UNCTAD s Commodity Price Statistics interna tional and national sources and UNCTAD secretariat estimates and calculates unit value indexes at the country level using the current year s trade values as weights period For economies for which UNCTAD does not publish data the import volume indexes opening round bracket lines 73 closing round bracket in the IMF quotation mark s International Financial Statistics are used period 	Import volume index opening round bracket 2000 equals sign 100 closing round bracket 	unknown	unknown	United Nations Conference on Trade and Development Handbook of Statistics and data files and International Monetary Fund International Financial Statistics period 	unknown	
415	DT period DIS period MIDA period CD	Public and publicly guaranteed debt outstanding from the International Development Association opening round bracket IDA closing round bracket is concessional period Concessional debt is defined as loans with an original grant element of 25 percent or more period The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed period It is used as a measure of the overall cost of borrowing period The grant equivalent of a loan is its commitment opening round bracket present closing round bracket value less the discounted present value of its contractual debt service semicolon conventionally future service payments are discounted at 10 percent period Disbursements are drawings by the borrower on loan commitments during the year specified period Data are in current U period S period dollars period 	PPG IDA opening round bracket DIS current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
416	NV period IND period MANF period KD period ZG	Annual growth rate for manufacturing value added based on constant local currency period Aggregates are based on constant 2005 U period S period dollars period Manufacturing refers to industries belonging to ISIC divisions 15 minus sign 37 period Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs period It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources period The origin of value added is determined by the International Standard Industrial Classification opening round bracket ISIC closing round bracket revision 3 period 	Manufacturing value added opening round bracket annual percent sign growth closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
417	SL period UEM period SECO period FE period ZS	Female unemployment with secondary education is the share of the female unemployed who attained or completed secondary education as the highest level period 	Unemployment with secondary education female opening round bracket percent sign of female unemployment closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
418	NV period AGR period TOTL period KD	Agriculture corresponds to ISIC divisions 1 minus sign 5 and includes forestry hunting and fishing as well as cultivation of crops and livestock production period Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs period It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources period The origin of value added is determined by the International Standard Industrial Classification opening round bracket ISIC closing round bracket revision 3 period Data are in constant 2005 U period S period dollars period 	Agriculture value added opening round bracket constant 2005 US dollar sign closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
419	SL period FAM period 0714 period MA period ZS	Unpaid family workers are people who work without pay in a market minus sign oriented establishment operated by a related person living in the same household period 	Children in employment unpaid family workers male opening round bracket percent sign of male children in employment ages 7 minus sign 14 closing round bracket 	unknown	unknown	Understanding Children quotation mark s Work project based on data from ILO UNICEF and the World Bank period 	unknown	
420	SH period MMR period DTHS	A maternal death refers to the death of a woman while pregnant or within 42 days of termination of pregnancy irrespective of the duration and site of the pregnancy from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes period 	Number of maternal deaths	unknown	unknown	WHO UNICEF UNFPA The World Bank and the United Nations Population Division period Trends in Maternal Mortality colon 1990 to 2013 period Geneva World Health Organization 2014 	unknown	
421	DT period DIS period DLXF period CD	Disbursements on long minus sign term debt are drawings by the borrower on loan commitments during the year specified period Long minus sign term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency goods or services period Data are in current U period S period dollars period 	Disbursements on external debt long minus sign term opening round bracket DIS current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
422	EG period ELC period LOSS period ZS	Electric power transmission and distribution losses include losses in transmission between sources of supply and points of distribution and in the distribution to consumers including pilferage period 	Electric power transmission and distribution losses opening round bracket percent sign of output closing round bracket 	unknown	unknown	IEA Statistics OECD slash IEA 2014 opening round bracket http colon slash slash www period iea period org slash stats slash index period asp closing round bracket subject to https colon slash slash www period iea period org slash t ampersands c slash termsandconditions slash 	unknown	
423	MS period MIL period XPND period ZS	Military expenditures data from SIPRI are derived from the NATO definition which includes all current and capital expenditures on the armed forces including peacekeeping forces semicolon defense ministries and other government agencies engaged in defense projects semicolon paramilitary forces if these are judged to be trained and equipped for military operations semicolon and military space activities period Such expenditures include military and civil personnel including retirement pensions of military personnel and social services for personnel semicolon operation and maintenance semicolon procurement semicolon military research and development semicolon and military aid opening round bracket in the military expenditures of the donor country closing round bracket period Excluded are civil defense and current expenditures for previous military activities such as for veterans quotation mark benefits demobilization conversion and destruction of weapons period This definition cannot be applied for all countries however since that would require much more detailed information than is available about what is included in military budgets and off minus sign budget military expenditure items period opening round bracket For example military budgets might or might not cover civil defense reserves and auxiliary forces police and paramilitary forces dual minus sign purpose forces such as military and civilian police military grants in kind pensions for military personnel and social security contributions paid by one part of government to another period closing round bracket 	Military expenditure opening round bracket percent sign of central government expenditure closing round bracket 	unknown	unknown	Stockholm International Peace Research Institute opening round bracket SIPRI closing round bracket Yearbook colon Armaments Disarmament and International Security period 	unknown	
424	SE period SEC period REPT period FE period ZS	Repeaters in secondary school are the number of students enrolled in the same grade as in the previous year as a percentage of all students enrolled in secondary school period 	Repeaters secondary female opening round bracket percent sign of female enrollment closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
425	SP period REG period BRTH period RU period ZS	Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey period The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered period 	Completeness of birth registration rural opening round bracket percent sign closing round bracket 	unknown	unknown	UNICEF quotation mark s State of the World quotation mark s Children based mostly on household surveys and ministry of health data period 	unknown	
426	BX period KLT period DINV period WD period GD period ZS	Foreign direct investment are the net inflows of investment to acquire a lasting management interest opening round bracket 10 percent or more of voting stock closing round bracket in an enterprise operating in an economy other than that of the investor period It is the sum of equity capital reinvestment of earnings other long minus sign term capital and short minus sign term capital as shown in the balance of payments period This series shows net inflows opening round bracket new investment inflows less disinvestment closing round bracket in the reporting economy from foreign investors and is divided by GDP period 	Foreign direct investment net inflows opening round bracket percent sign of GDP closing round bracket 	unknown	unknown	International Monetary Fund International Financial Statistics and Balance of Payments databases World Bank International Debt Statistics and World Bank and OECD GDP estimates period 	unknown	
427	CM period MKT period LCAP period CD	Market capitalization opening round bracket also known as market value closing round bracket is the share price times the number of shares outstanding period Listed domestic companies are the domestically incorporated companies listed on the country quotation mark s stock exchanges at the end of the year period Listed companies does not include investment companies mutual funds or other collective investment vehicles period Data are in current U period S period dollars period 	Market capitalization of listed companies opening round bracket current US dollar sign closing round bracket 	unknown	unknown	Standard ampersands Poor quotation mark s Global Stock Markets Factbook and supplemental S ampersands P data period 	unknown	
428	SP period DYN period TFRT period IN	Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age minus sign specific fertility rates period 	Fertility rate total opening round bracket births per woman closing round bracket 	unknown	unknown	 opening round bracket 1 closing round bracket United Nations Population Division period World Population Prospects opening round bracket 2 closing round bracket United Nations Statistical Division period Population and Vital Statistics Report opening round bracket various years closing round bracket opening round bracket 3 closing round bracket Census reports and other statistical publications from national statistical offices opening round bracket 4 closing round bracket Eurostat colon Demographic Statistics opening round bracket 5 closing round bracket Secretariat of the Pacific Community colon Statistics and Demography Programme and opening round bracket 6 closing round bracket U period S period Census Bureau colon International Database period 	unknown	
429	IQ period CPA period MACR period XQ	Macroeconomic management assesses the monetary exchange rate and aggregate demand policy framework period 	CPIA macroeconomic management rating opening round bracket 1 equals sign low to 6 equals sign high closing round bracket 	unknown	unknown	World Bank Group CPIA database opening round bracket http colon slash slash www period worldbank period org slash ida closing round bracket period 	unknown	
430	NE period GDI period FPRV period CN	Private investment covers gross outlays by the private sector opening round bracket including private nonprofit agencies closing round bracket on additions to its fixed domestic assets period 	Gross fixed capital formation private sector opening round bracket current LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
431	SE period PRM period TCAQ period MA period ZS	Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training opening round bracket pre minus sign service or in minus sign service closing round bracket required for teaching in their country period 	Trained teachers in primary education male opening round bracket percent sign of male teachers closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket special data collection for the Education for All Initiative period 	unknown	
432	SH period XPD period PRIV period ZS	Private health expenditure includes direct household opening round bracket out minus sign of minus sign pocket closing round bracket spending private insurance charitable donations and direct service payments by private corporations period 	Health expenditure private opening round bracket percent sign of GDP closing round bracket 	unknown	unknown	World Health Organization Global Health Expenditure database opening round bracket see http colon slash slash apps period who period int slash nha slash database for the most recent updates closing round bracket period 	unknown	
433	NE period CON period PRVT period PP period CD	Household final consumption expenditure opening round bracket formerly private consumption closing round bracket is the market value of all goods and services including durable products opening round bracket such as cars washing machines and home computers closing round bracket purchased by households period It excludes purchases of dwellings but includes imputed rent for owner minus sign occupied dwellings period It also includes payments and fees to governments to obtain permits and licenses period Here household consumption expenditure includes the expenditures of nonprofit institutions serving households even when reported separately by the country period Data are converted to current international dollars using purchasing power parity rates based on the 2011 ICP round period 	Household final consumption expenditure PPP opening round bracket current international dollar sign closing round bracket 	unknown	unknown	World Bank International Comparison Program database period 	unknown	
434	NV period IND period TOTL period CD	Industry corresponds to ISIC divisions 10 minus sign 45 and includes manufacturing opening round bracket ISIC divisions 15 minus sign 37 closing round bracket period It comprises value added in mining manufacturing opening round bracket also reported as a separate subgroup closing round bracket construction electricity water and gas period Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs period It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources period The origin of value added is determined by the International Standard Industrial Classification opening round bracket ISIC closing round bracket revision 3 period Data are in current U period S period dollars period 	Industry value added opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
435	SE period PRM period ENRL period FE period ZS	Female pupils as a percentage of total pupils at primary level include enrollments in public and private schools period 	Primary education pupils opening round bracket percent sign female closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
436	EOSQ397	unknown	Effect of taxation on incentives to work comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma to what extent do taxes reduce the incentive to work question mark opening curly bracket 1 equals sign significantly reduce the incentive to work semicolon 7 equals sign do not reduce incentive to work at all closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
437	NY period GDP period FCST period KN	Gross value added at factor cost opening round bracket formerly GDP at factor cost closing round bracket is derived as the sum of the value added in the agriculture industry and services sectors period If the value added of these sectors is calculated at purchaser values gross value added at factor cost is derived by subtracting net product taxes from GDP period Data are in constant local currency period 	Gross value added at factor cost opening round bracket constant LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
438	SL period SLF period 0714 period ZS	Self minus sign employed workers are people whose remuneration depends directly on the profits derived from the goods and services they produce with or without other employees and include employers own minus sign account workers and members of producers cooperatives period 	Children in employment self minus sign employed opening round bracket percent sign of children in employment ages 7 minus sign 14 closing round bracket 	unknown	unknown	Understanding Children quotation mark s Work project based on data from ILO UNICEF and the World Bank period 	unknown	
439	GC period TAX period IMPT period CN	Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents period They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services period 	Customs and other import duties opening round bracket current LCU closing round bracket 	unknown	unknown	International Monetary Fund Government Finance Statistics Yearbook and data files period 	unknown	
440	EN period ATM period NOXE period EI period ZS	Industrial nitrous oxide emissions are emissions produced during the manufacturing of adipic acid and nitric acid period Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels period 	Nitrous oxide emissions in industrial and energy processes opening round bracket percent sign of total nitrous oxide emissions closing round bracket 	unknown	unknown	European Commission Joint Research Centre opening round bracket JRC closing round bracket slash Netherlands Environmental Assessment Agency opening round bracket PBL closing round bracket period Emission Database for Global Atmospheric Research opening round bracket EDGAR closing round bracket colon http colon slash slash edgar period jrc period ec period europa period eu slash 	unknown	
441	FM period LBL period BMNY period ZG	Broad money opening round bracket IFS line 35L period period ZK closing round bracket is the sum of currency outside banks semicolon demand deposits other than those of the central government semicolon the time savings and foreign currency deposits of resident sectors other than the central government semicolon bank and traveler s checks semicolon and other securities such as certificates of deposit and commercial paper period 	Broad money growth opening round bracket annual percent sign closing round bracket 	unknown	unknown	International Monetary Fund International Financial Statistics and data files period 	unknown	
442	SE period PRM period UNER	Children out of school are the number of primary minus sign school minus sign age children not enrolled in primary or secondary school period 	Children out of school primary	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
443	NY period GNS period ICTR period CN	Gross savings are calculated as gross national income less total consumption plus net transfers period Data are in current local currency period 	Gross savings opening round bracket current LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
444	EOSQ043	unknown	Wastefulness of government spending comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma how efficiently does the government spend public revenue question mark opening curly bracket 1 equals sign extremely inefficient semicolon 7 equals sign extremely efficient in providing goods and services closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
445	EOSQ089	unknown	Venture capital availability comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma how easy is it for entrepreneurs with innovative but risky projects to find venture capital question mark opening curly bracket 1 equals sign extremely difficult semicolon 7 equals sign extremely easy closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
446	unknown	Expressed in percent of world GDP in PPP dollars period These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy period The IMF is not a primary source for purchasing power parity opening round bracket PPP closing round bracket data period WEO weights have been created from primary sources and are used solely for purposes of generating country group composites period For primary source information comma please refer to one of the following sources colon the Organization for Economic Cooperation and Development comma the World Bank comma or the Penn World Tables period For further information see Box A2 in the April 2004 World Economic Outlook comma Box 1 period 2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A period 1 in the May 2000 World Economic Outlook for a summary of the revised PPP minus sign based weights comma and Annex IV of the May 1993 World Economic Outlook period See also Anne Marie Gulde and Marianne Schulze minus sign Ghattas comma Purchasing Power Parity Based Weights for the World Economic Outlook comma in Staff Studies for the World Economic Outlook opening round bracket Washington colon IMF comma December 1993 closing round bracket comma pp period 106 minus sign 23 period 	Gross domestic product based on purchasing minus sign power minus sign parity opening round bracket PPP closing round bracket share of world total	Percent	unknown	unknown	See notes for colon Gross domestic product comma current prices opening round bracket National currency closing round bracket period 	
